,emotion_id,emotion,emotion_en,talkbacks
133,7,"זעם, כעס",anger," פרייארים לא מתים...רק מתחלפים.
האוכלי חינם האלה פתאום התחילו לעבוד וכבר רוצים כסף כסף כסף....חבורה של מוצצי דם עכשיו מלחמה ותתנהגו בהתאם !!! אנשי קבע במלחמה דורשים עוד ועוד כסף ???  ושיזכרו להם את זה ????"
134,6,"סלידה, אי אמון",disgust," חברים לא הגזמתם ? בסך הכל 32 ו 47 כל השאר מדבקים ודורשים ביד.
פשוט ספין היסטרי מבית היוצר של ביביה 1600 דורשים בידוד אבל לא יותרודוקא את בדיקות הזיהוי עיכב ומעכב בית מדרשו של לייצמן (ה -מ  מיותרת)"
136,7,"זעם, כעס",anger," חארטה.
ומתחבאים מאחורי תירוצים שונים. גם אם המורים יצאו לחלת, עדיין הם יקבלו אבטלה. אז זה או למידה מרחוק ואין חופש גדול. או אין למידה מרחוק ואין חופש גדול. עכשיו נשמע מה הנהגת ההורים אומרת? אי אפשר לאכול את כל העוגה. גם למידה מרחוק וגם חופש גדול. "
137,5,"עצב, צער",sadness," החלאות האמיתיים ששמים פס על כולנו.
לצערי ככה המוח של הישראלים עובד... איך לתחמן את המערכת.בבקשה - כמו שאני מתבאס ומבין שלא אעשה את החג עם ההורים - תהיו אחראיים! "
139,3,"חשש, פחד",fear," החריכו את ביתי החיילת להגיע לעיר הבהדים באוטובוס מלא חיילים .
למרות שהיא רצתה להגיע איתי ברכב עד הבסיס,  אוטובוס עמוס חיילים זה הדבר הכי גרוע שיכול להיות !  ובניגוד להנחיות משרד הבריאות, אבל לא התייחסו אלינו."
142,6,"סלידה, אי אמון",disgust," אולי תפסיקו לעוות את המספרים? .
לא סגר ולא הגבלות, הכל בסדר - אל תדאג."
143,3,"חשש, פחד",fear," יש לך תואר שעושה ממך צחוק את אוילה מצויה .
כל יום בהסגר עם הבעל והילד הקטן נהיה לי קשה יותר ויותר מבחינה נפשית (למרות ששניהם מדהימים). הדכאון אוכל מבפנים ואין לי מושג איך אעבור את זה... לא מבינה את התגובות המרשעות כאן"
144,7,"זעם, כעס",anger," לזה קוראים: מדינה בהפרעה.
ייתכן והקורונה אף היא עושה שבת. במלון קורונה בירושלים משכנים חסידי חבד וזורקים את אלו שלהם הוא נועד. קובעים תקנות לשעת חרום , אך אלו פועלות רק היכן שנו. לירושלים ולבני ברק הן לא נכנסית. "
145,6,"סלידה, אי אמון",disgust," לא הנגיף יהרוס אותנו..רק אנחנו.
אמר שיש לי 35 טמטום של הבסטיונר מירושלים"
146,7,"זעם, כעס",anger," תמשיכו לאכול עטלפים וכלבים.
במחלה הזאת מתים בייסורים?"
147,7,"זעם, כעס",anger," תקופה קשה? יהיה יותר קשה...
אם היו סוגרים לפני חודש זה היה עובר יותר בקלות."
148,7,"זעם, כעס",anger," מקווה שנוסעי הטיסה ישארו ברוסיה 15 יום, לפחות.
ואף אחד לא יורד מטיסה שלא לדבר על עשרות מנהגים וסכנות כמו עישון אכילת יתר וכו שגורמים למות מיליוניםאז תנוחו לא כל סיני הוא פצצת זמן ביולוגית"
149,5,"עצב, צער",sadness," הבאתם 100 חולים מברוקלין.
בקיצור אנשים יאבדו את הכלכלה שלהם/ בית /עסקים קטנים/עצמאים בגלל שמשרד הבריאות לא היה ערוך כראוי.בגלל שהממשלות לא תפקדו נכון והעבירו תקציבים למקומות שמהם קיבלו קולות/ מוסדות/ מגזרים והם מצידם לא נתנו חזרה דבר למדינה."
152,0,"ציפייה, הבעת עניין",expectation," ואף מילה על הבורסה וההשפעות שלה על פנסיה וקרנות?.
הסינים אוכלים כל מה שלא הספיק לברוח."
157,0,"ציפייה, הבעת עניין",expectation," שאלה.
גם בצרפת אנגליה וארצות הברית התגלו מיקרים גם את הבאים משם תכניסו לבידוד חוץ מזה בתאילנד הייתי רחוק מהאיזור שבו נמצאו מקרי קורונה ואין לי סימני מחלה ולא היו סביבי אנשים עם סימני מחלה  ועוד שאלה מי ישלם לעצמאיים את 14 הימים שרוצים שאשב בבית"
159,7,"זעם, כעס",anger," לנגיף הזה קוראים,, זעקת הכלבים מפסטיבל יולין..
כבר הרבה זמן שאני מייחלת למגיפה המונית וחשוכת מרפא בסין, קוריאה, ויאטנם וקמבודיה, על שחיטת הכלבים האכזרית, בעיקר על מה שמתרחש בכל קיץ בדרום סין, ביולין.
הגיע הזמן.!!!!!"
160,6,"סלידה, אי אמון",disgust," בתחתית כל הפרמטיבים מהפריפריה ומצביעי ליכוד לא מפתיע.
בזכותם נשאר עם הקורונה עוד הרבה זמן"
162,6,"סלידה, אי אמון",disgust," אז ביבי גם צריך שוב בידוד לא ?.
עכשיו כשהם חולים הם אולי יבינו למה חשוב בדיקות לכולם
ולא רק למי ששהה ליד חולה 15 דקות.
ויתחילו לעבוד ולא להיות אדישים ורדומים."
163,3,"חשש, פחד",fear," לחסום בכח העברת הקשישים.
צריך לעשות כל מהלך אפשרי למנוע את זה!!! קשישים וחולי אלצהיימר מגיבים בצורה חריפה לשינויים כמו שינוי סביבתי וזה יהיה פשוט אסון!!!!! הם צריכים להישאר שם. זה בית חם עבורם ואסור לאפשר דבר כזה!"
168,5,"עצב, צער",sadness," הדיירת שדיברה בכיתי ממה שאמרה.
יש להעביר את כל האוכלוסיה המבוגרת לבתי מלון בים המלח או לאילת כאשר החום והלחות שם יעשו עבודה טובה יותר ממשרד הבריאות"
169,0,"ציפייה, הבעת עניין",expectation," הגיע הזמן לשיוויון מגדרי ושיוויון כלכלי.
המדינה צריכה לעזור באופן דחוף לאנשים שלא יוכלו לשרוד בלי העזרה וכולנו צריכים לקוות שהמצב יסתיים במהרה וכולנו נלקק את הפצעים ונמשיך הלאה. בהצלחה!"
170,6,"סלידה, אי אמון",disgust, חבל שהקורונה לא לקחה את החלאה הזה. מגן הפדופילים 
172,6,"סלידה, אי אמון",disgust," יתרה מזה אפשר לחשוב ש320 אלף שקל ברוטו.
בעלי עצמאי. משלם מיסים כחוק. משלם מקדמות מטורפות. אבל לא זכאי לשום מענק.שנינו מתקרבים לגיל פרישה. משתכרים כל השנים בכבוד. רוצים להמשיך לעבוד.הפסקת עבודה ( חל'ת או פיטורין) זו יציאה מוחלטת ממעגל העבודה.זה פשוט גזר דין מוות."
173,6,"סלידה, אי אמון",disgust," בעיה מרחבית.
קיום כבר מוטמעים ברחבי העולם פתרונות לחשיפת מוקדי התפרצות וכן התראות לצערי משיקולים אישים של מספר גורמים ציבורים הדבר נעצר או מוסתר.חבל שישראל שמוצגת כמדינה טכנולוגית לא מטמיעה טכנולוגיות חדשות שיפתרו בעיות רבות בחזרה לשיגרה החדשה."
174,0,"ציפייה, הבעת עניין",expectation," למה לעזאזל המדינה לא מחלקת מסיכות פנים לאזרחים?.
איני יודע מי מנסח את הדיווחים אך לקרוא שחולה מס 228 בת 41 היתה במגע הדוק עם חולה מס 62 בן 68 מבלי לציין שמדובר באבא שלה נשמע לא טוב ולא מכבד...."
175,4,"הפתעה, תדהמה",surprise," מספיק לנו גנץ אחד!.
המשבר מנוהל היטב. וסתם להכניס את כולם לבהלה לא ייתן שום דבר. עוד נביא שקר בעירך.. ."
178,3,"חשש, פחד",fear," ארבע הבריאו.
חייבים לעשות עוצר בכל המדינה שאף אחד לא יצא מהבית במשך 14 יום קדימה להתעורר ולא נהיה כמו איטליה שמישהו יקח מנהיגות ומהר ושלא יהיה מאוחר מידי "
182,3,"חשש, פחד",fear," למה לא סוגרים את הכניסה לארץ מסין.
אם לא מפקחים עליהם צמוד צמוד עם ערכים מערביים הם ימשיכו לרמות את כל העולם כל הזמן וגם את עצמם.  "
183,4,"הפתעה, תדהמה",surprise, מתקהלים?? מפרים?? ולא חרדים???? מעניין....  
184,5,"עצב, צער",sadness,"  צודקים לגמרי!! סגר לא טוב כלכלית ונפשית.
אם ברובם המוחלט קשישים , אנחנו והעולם כולו ,נתהה אם המחיר ששילמנו לא כבד מידי."
186,1,"שמחה, התלהבות",happy, ישר כח לשוטרים - מפירי בידוד למאסר 
188,6,"סלידה, אי אמון",disgust," ביבי מנכל המדינה.
במשך שנה אחת. נתוני ההדבקה והתמותה דומים לקורונה לא עושים מזבוב פיל להיפך לא נערכים כמו שצריך ובמדינתנו הכושלת מערכת הבריאות לא בנויה להתמודד עם מחלה בסדר גודל הזה "
190,6,"סלידה, אי אמון",disgust," רק לימוד התורה החזיק אותנו 2000 שנות גלות.
כנראה ישלמו למלון המון כסף אם היה מוכן להסתכן בכך שייזכר כמלון עם חולי קורונה. זה ייצור אפקט פסיכולוגי (שגוי ובעייתי ...) שיזיק למלון לאורך השנים..."
191,4,"הפתעה, תדהמה",surprise," בית דין דתי.
7 שנות השתמטות ועונש של 22 יום בכלא? מה זאת הבדיחה הזאת? הקורונה מסוכנת, על זה אין עוררין. אבל אסור לוותר על שלטון החוק. התנהלות הזויה."
194,0,"ציפייה, הבעת עניין",expectation," תודה לביבי וליצמן שבנו בית חולים חדש בשנת.
הרוב לא יראו תסמינים בכלל
חלק יראו תסמינים קטנים
מיעוט יהיו במצב קשה
וכמה מאות או אלפים בודדים ימותו."
195,5,"עצב, צער",sadness, כסף לישיבות הייה יותר חשוב מכסף לבתי-חולים וערכות בדיקת נגיף 
197,6,"סלידה, אי אמון",disgust, גנים הם מבטלים ותפילות לא? 
199,7,"זעם, כעס",anger," אני אוקראיני קורבן בעם שלכם.
לועגים לאוקראינים שאנחנו בטלנים ואוכלים על חשבון ביטוח לאומי אז לא! בפנים שלכם אני יחגוג סיליבסטר ואצביע גנץ גם בבחירות רביעיות"
200,6,"סלידה, אי אמון",disgust," זה לא של משרד הבריאות.
הוראות הבידוד לא חלות על שחקני מכבי תל אביב.
ואף אחד לא ינגע בהם.
משרד הבריאות - אפסים"
201,7,"זעם, כעס",anger," אם אתה לא מזדהה בפניהם, הם לא אמורים לדעת שאתה גר שם.
אין סנטימנטים"
202,5,"עצב, צער",sadness," ""כל משפחה תפעיל שיקול דעת""?.
אני לא יכול לעלות לקבר הורי, למה שיאשרו למשפחות החללים?
אם אסור אז אסור, או שיחליטו שמותר, כי אני מאד מתגעגע אליהם וקשה לי."
203,6,"סלידה, אי אמון",disgust,"  מחדל ושקרים של משרד הבריאות וראש הממשלה.
יש רק כ 200 חולים בקורונה בישראל כל היתר נחשפו לנגיף אבל הם לא חולים (בינתיים)נא לדייק במילים זה פוגע באמינות שלכם גם כך היא לא משהו"
