,motion_id,emotion,emotion_en,talkbacks
19,4,עצב,sadness,כעת אני מרגיש פשרות וספקן לגבי הערך של כל יחידת עבודה שאני משקיע
20,3,אהבה,love,אני מרגיש עצבני ודחוי בלי שאף אחד יעשה כלום או אמר כלום
21,4,עצב,sadness,אני מרגיש המום לחלוטין יש לי שתי אסטרטגיות שעוזרות לי להרגיש מקורקע לשפוך את ליבי ביומן שלי בצורה של מכתב לאלוהים ואז לסיים ברשימה של חמישה דברים שאני הכי אסיר תודה עליהם
22,1,פחד,fear,יש לי הרגשה שהיא הייתה משועשעת ושמחה
23,1,פחד,fear,הצלחתי לעזור לצ'אי קו הצלה עם התמיכה והעידוד שלך זו הרגשה נהדרת ואני כל כך שמח שהצלחת לעזור לי
24,3,אהבה,love,אני כבר מרגישה שהזדינתי כי אני בדרך כלל לא אוכלת בבוקר
25,0,כעס,anger,אני עדיין אוהב את שלי כל כך ומאחל לו את הטוב ביותר אני כבר לא יכול לסבול את ההשפעה שיש ל-bm על החיים שלנו והעובדה שזה הפך את הכל כך שלי לאדם מריר כועס שלא תמיד נחמד במיוחד לאנשים סביבו כאשר הוא מרגיש לחוץ
26,0,כעס,anger,אני מרגיש כל כך מעוכב במטבח של מישהו כמו שאני מצייר על תמונה של מישהו אחר
27,0,כעס,anger,אני נהיה המום ומרגיש מובס
28,3,אהבה,love,אני די מזועזע שהיא מרגישה שהיא צריכה להסביר לרוחב ולאורך את מידות הגוף שלה וכו' עמוד
29,1,פחד,fear,אני מרגיש יותר טוב עוף מת או ילד מתאבל
30,1,פחד,fear,אני מסתחרר מתחושת אלגנטיות בחצאית עיפרון מצוידת בצורה מושלמת
31,4,עצב,sadness,אני זוכר שהרגשתי מצוקה חריפה במשך כמה ימים
32,5,הפתעה,surprise,"ראיתי ששמעתי וקראתי במהלך היומיים האחרונים, נותרתי מתרשם מיותר מכמה חברות"
33,3,אהבה,love,טיפסתי על הגבעה בהרגשה מתוסכלת מזה שהייתי די לא בסדר בקורס הזה ושגורם שמעולם לא הפריע לי עשה חיל כזה ביום
34,1,פחד,fear,"אני לא יכול לדמיין תרחיש בחיים האמיתיים שבו אני אהיה מחובר רגשית מספיק עם מישהו כדי להרגיש מקובל ובטוח לחלוטין, איפה שמקובל מבחינה מוסרית שיהיה לי מגע פיזי קרוב וממושך, ובו לא צפוי סקס לאחר מכן"
35,1,פחד,fear,אני לא בטוח מה יגרום לי להרגיש מרוצה אם בכלל
36,1,פחד,fear,הרגשתי צורך להיות יצירתי
37,1,פחד,fear,"עם זאת, אני רוצה שתדע שאם משהו שמישהו גורם לך להרגיש פחות אז האני הנפלא שלך תתרחק ממנו"
38,3,אהבה,love,אני מרגישה קצת גס רוח לכתוב לג'נטלמן מבוגר לבקש מתנות כי אני מרגישה קצת חמדנית אבל על מה חג המולד אם לא חמדנות קלה
39,1,פחד,fear,אני צריך אותך אני צריך מישהו אני צריך להיות מוגן ולהרגיש בטוח אני קטן עכשיו אני מוצא את עצמי בעונה של אין מילים
40,1,פחד,fear,אני מתכנן לחלוק איתך את סיפורי היומיום שלי להרפתקאות טיולים בהשראות ויצירות בעבודת יד ומקווה שגם אתה תרגיש השראה
41,1,פחד,fear,יש לי כבר את עצי חג המולד שלי יש לי שניים ואני מרגיש חגיגי וזה בטוח מדרבן אותי להתחיל עם הספר הזה
42,1,פחד,fear,לבשתי אותו פעם אחת לבד עם קונסילר קטן ובמשך הימים אני מרגיש אמיץ אבל לא רוצה להיות חיוור אז הוא מושלם
43,1,פחד,fear,אני מרגיש מאוד נלהב כשאיזה טמבל מחליט לחטט וללעוג לנו
44,0,כעס,anger,"הרגשתי כל כך מיואש שאנחנו כבר שודדים את פיטר כדי לשלם לפול כדי לקבל את הפרה שלנו השנה, אבל אנחנו לא יכולים להרשות לעצמנו לא לקבל את הפרה כך"
45,0,כעס,anger,הרגשתי אדיש מהצורך בדברים חדשים במשהו אחר
46,1,פחד,fear,איבדתי את השכל המיוחד שלי אבל אל תדאג אני עדיין שפוי רק רציתי שתרגיש את מה שהרגשתי בזמן שקראתי את הספר הזה אני לא יודע כמה פעמים נאמר שסאם היה מיוחד אבל אני יכול להבטיח לך שזה היה הרבה יותר פעמים במה השתמשתי בפסקה ההיא אמרתי לך שהיא מיוחדת
47,2,שמחה,joy,אני לא יכול להשתחרר מהתחושה העצובה הזו שאני רוצה להתקבל כאן בבית הראשון שלי
48,1,פחד,fear,בשייט לדנמרק
49,3,אהבה,love,הפסקתי להרגיש קר והתחלתי להרגיש חם
50,1,פחד,fear,אני צריך להרגיש את הבצק כדי לוודא שהוא פשוט מושלם
51,0,כעס,anger,מצאתי את עצמי מרגיש קצת מיואש באותו בוקר
52,3,אהבה,love,אני מרגיש אנוכי ומפונק
53,4,עצב,sadness,נרתעתי קצת כשכתבתי כשהרגשתי לא בטוחה שאולי אלך לאנשהו עם הסיפור בלי כוונה
54,1,פחד,fear,אני תיק qaf תראה מי בוכה עכשיו ג'סינט נראה טוב הרגשה מדהימה רופול העורות מספריים אחיות ולנטיין השמש נמאס לקייל מי זה אבא שלך גרלינג ערה הלא נחמדה
55,0,כעס,anger,אני מרגיש שאתה יודע בעצם כמו זיוף בתחום המדע הבדיוני
56,0,כעס,anger,אני שונאת לגור תחת קורת הגג של אבא שלי כי זה נותן לו תירוץ להיות אידיוט בשבילי כי הוא מספק לי לחיות כאן. אני חושב שהוא מרגיש שהוא צריך לגרום לי להרגיש כמה שיותר לא רצוי אז חולה לעזוב
57,5,הפתעה,surprise,אני כל הזמן מרגיש מופתע לטובה מהתמיכה שלו וגם מהקלות שלו במצבים חדשים
58,1,פחד,fear,"יש לי את ההרגשה שאם תהיה לי עוד פעילות מינית נמרצת בעתיד כן, אני טעיתי באיות שכיום הגמר חלקים ממני יתחילו ליפול"
59,1,פחד,fear,אני מרגיש את החיוך החם והאוהב החינני של אמא שלי כשאני גוזל את הזמן לטפח את עצמי ולרפא
60,1,פחד,fear,"אני מרגיש שהם מדברים שהגיס פופולרי מאוד, זה שלא היה לי לחשוב שהוא כל כך נוקשה"
61,2,שמחה,joy,אכלתי יכולתי להרגיש עקצוץ עדין לאורך כל הדרך כמעט כאילו הרגשתי את הריפוי המתרחש ברמה התאית
62,4,עצב,sadness,אני מרגישה שנלחצים עלינו להיות צעירים ויפים ורזים ובהתאם למגמה לחדש את הבנות או להשתיל תחת
63,4,עצב,sadness,התחלתי שהם כמה פעמים בשבוע מרגישים מעונים מההזיות שמניעות אנשים ודמויות צלילים ורעידות
64,5,הפתעה,surprise,אני עכשיו כמעט סיימתי את הגמילה בשבוע ואני מרגיש מדהים
65,3,אהבה,love,אני מרגיש אנוכי כשאני קורא בחזרה לפוסטים הקודמים שלי איך מעולם לא ביקשתי תפילות עבור אחרים איך מעולם לא שקלתי שאולי יש אחרים שם בחוץ שראוי שתפילותיהם ייענו לפני שלי
66,3,אהבה,love,אני יודע את הכאב שחשים הורים כשילד זועם הופך לאלים
67,0,כעס,anger,הייתי על רכבת הרים של רגשות בגלל התחושות האלה שמשהו לא נעים מגיע
68,2,שמחה,joy,"אני מניח שצריך לחלוק את האמת שלי. לא הרגשתי מאוד נאמן לאחרונה, שכבתי יותר בספק ובחוסר ודאות ממה שיש לי באמונה"
69,1,פחד,fear,הרגשתי אמיצה כשקניתי אותו וברור כשאיפרתי
70,0,כעס,anger,אני מרגיש אומלל אבל אני גם האמא הכי גאה עלי אדמות
71,0,כעס,anger,אני מניח שהמשפחה שלי אוהבת אותנו לא משנה מה אבל בסביבת כל אחד אחר אני מרגישה נבוכה כשמישל הופכת לבליסטית
72,1,פחד,fear,אני לא בהכרח חושב שפצצות וסקס נחוצים בכל הסיפורים אבל אני מרגיש רגוע כשאני רואה אותם ביומנים מודפסים
73,0,כעס,anger,אני מרגישה שהשחלות שלי כואבות מדברות אליי כמו שאני רוצה לומר זאת
74,0,כעס,anger,לא התחשק לי לעשות הרבה כריס ובעיקר צילמתי יותר מדי תמונות של דברים לא חשובים
75,0,כעס,anger,נמאס לי מהספר ומוכן להוציא אותו מכאן ולגלות שקיבלתי תמונות לא מתאימות ואז להרגיש מאשימים אותי בתוצאה לא הסתדר
76,1,פחד,fear,הצלחתי למתוח קנבס mxm אני מרגיש שזה הישג בפני עצמו והיה שימוש כדאי בכסף ובזמן שלי. אשתמש בקנבס לתקצירים עתידיים
77,1,פחד,fear,אני חושב שרגשות הם אחד הדברים הכי חשובים שיש לנו
78,1,פחד,fear,"אני מרגישה כבוד מוחלט להשפיע על האישה הצעירה והמוכשרת הזו, היפהפייה בחיים"
79,3,אהבה,love,אני מרגיש כועס ואורה
80,0,כעס,anger,אני מרגיש כמו חתיכת זבל עלובה
81,3,אהבה,love,"אני מרגישה שאני צריכה להכין רשימה, ליאן תזדעזע מהמחשבה כדי שלא אפספס שום דבר"
82,3,אהבה,love,נסעתי עם דניקה לבית הספר הרגשתי קצת ממהר וזה מה שקיבל את פניי כשפניתי לפינה
83,3,אהבה,love,אני זוכר שהרגשתי כל כך עצבני על היורה
84,1,פחד,fear,אני מרגיש מאוד שמח ונרגש מאז שלמדתי כל כך הרבה דברים
85,1,פחד,fear,אני מרגיש שבתערוכות ובסביבת סוסי תצוגה אנשים סומכים ורגועים מכיוון שרוב סוסי התצוגה בטוחים ושקטים ומטופלים בהם לעתים קרובות
86,1,פחד,fear,נותרו לי רק כמה דברים להכין ובתחילת דצמבר סיימתי ומרגישה זחוח
87,1,פחד,fear,אני חושב על איך אתה יכול לגרום לי להרגיש ולהבין שהכל יהיה בסדר
88,0,כעס,anger,אני מרגישה כל כך חסרת ערך באותם זמנים שהתקשתי למצוא עבודה
89,4,עצב,sadness,אוכל לשכב על מיטתי בחושך ולא להרגיש מבועת לפחות לזמן מה
90,2,שמחה,joy,הייתי מוכן לפגוש את אמא בשדה התעופה ולחוש את זרועותיה התומכות סביבי
91,3,אהבה,love,אני מרגיש מריר היום מצב הרוח שלי היה מוזר כל היום אז אני מניח שזה זה
92,0,כעס,anger,כשאחי אמא שלי נפטר לאחר שהיה מעורב בתאונת דרכים הוא הביא לי מתנה כי עברתי את טופס חמש הבחינות שלי בצבעים נפלאים
93,3,אהבה,love,אני משחרר את האיבה שיש כלפי כל מי שאני מרגיש שעשה לי עוול
94,2,שמחה,joy,אני מדבר עם כלבים כי אני מרגיש שהם לא יכולים להבין מילים אבל הם יכולים לקרוא רגשות ויודעים איך לתמוך החלטתי שאני צריך ללכת הביתה
95,0,כעס,anger,בא לי לזרוק את פיסת הנייר המחורבן
96,1,פחד,fear,אני מתחיל להרגיש משועשע בעצבנות מהקומדיה הבנאלית של הטעויות שהחיים שלי הופכים אליה
97,1,פחד,fear,אני מוצא שכל גוף יפה ורק רוצה שאנשים ירגישו חיוניים בגוף שלהם
98,0,כעס,anger,"אני שומע שהם בעלים שמרגישים קורבן מהאגודות שלהם, עורכי הדין של העמותה או מנהל הנכס"
99,3,אהבה,love,אני נפרד מהמשפחה כולם עצובים בכי ואני מרגיש כמו כלבה חסרת לב כי היי אני די מתרגש לטוס בפעם הראשונה ואתה יודע גם לבלות שנה במדינה אחרת
100,2,שמחה,joy,אני לא אתן לי ילד לבכות את זה כי אני מרגיש שלאהוב אותה ואת לילי כשהייתה קטנה הולכות להיות הזדמנויות שנמשכו רק לכמה חודשים קצרים
101,1,פחד,fear,אני אלבה אני מרגיש טוב ואני משתלב
102,1,פחד,fear,"אני מרגיש נרגש ממה שאני עושה שוב, אני מרגיש שיש לי המון להתעדכן"
103,1,פחד,fear,אני גם יודע כמה טוב זה מרגיש להסתכל אחורה ולראות שכיבדתי את המילה שלי וזה עוזר מההתחלה
104,0,כעס,anger,אני מתכוון לעבודות ממש ממש קשה להשיג מיומנות טכנית כל כך גבוהה בושו מרגיש די בושה אבל איכשהו מוטיבציה כשראיתי ילדים עושים הופעות וושו מכל הלב למרות העייפות שלהם
105,1,פחד,fear,אני מרגיש שהדברים מתחילים להיות קצת מכריעים. כמה שפריצים מהטונר הזה באמת עוזרים להרגיע ולהרגיע אותי
106,1,פחד,fear,"אני מקווה שאתה מבין כמה מאמץ כה קטן נדרש כדי לגרום לאדם להרגיש טוב יותר עם עצמו או עם מצבו, בין אם זה אני בן משפחה, חבר מכללה או תיכון, שכן ברחוב או אפילו זר מוחלט"
107,1,פחד,fear,אני מרגיש כל כך חגיגי היום שאני אפילו הולך להקים את העץ ברגע שסיימתי לעשות את זה ולהתעדכן בהתרחשויות השבוע ברחוב ההכתרה
108,1,פחד,fear,לגלות שאני לא חולה לא ברצינות
109,0,כעס,anger,הסתדרתי בכיתה אבל שילוב של הרגשה לא מוצלחת להיות גבר התמודד עם הלחץ של מאוחר והשבוע הנורא שלי גרם לכמעט בכי שלי אחרי שסיימתי להתחבט
110,1,פחד,fear,אני מרגיש שזה לעתים רחוקות מקדם מטרה שווה ואני תמיד מקפיד על הכלל של לא לפרסם שום דבר באינטרנט שלא הייתי מוכן לומר לפניו של מישהו
111,1,פחד,fear,אני מרגיש שהכל שימושי
112,2,שמחה,joy,אני מרגיש שלחלק מכם יש כאבים ואתם לא יכולים לתאר לעצמכם להיות נלהבים מהקבוצה או מהרעיון שגורם לכאב
113,0,כעס,anger,"אני מרגיש מכוער, אני נוטה יותר ללבוש ג'ינס טרודים וסווטשירט מאשר שמלה יפה אם כי אני עדיין יכול לנעול זוג עקבים בבית שלי כדי להגביר מעט את ההערכה העצמית שלי, אבל אני בהחלט לא אטרח לקנות זוג חדש"
114,0,כעס,anger,אני עדיין לא מרגיש געגועים הביתה אז אני מרגיש בסדר לגבי זה
115,1,פחד,fear,אני רוקד אני צריך להרגיש יפה
116,1,פחד,fear,אני מתאמן כל בוקר לפני ומרגישה נפלא בגלל זה
117,0,כעס,anger,אני מרגיש את כל זה רק מהעיניים שלה לא מהמגע שלה או מהמילים שלה אבל מהעיניים שלה אני יודע שבטוח אני יכול להחזיר את האהבה הזו ולדעת שזה לא יהיה לשווא
118,1,פחד,fear,"הרגשתי נפלא עד יום שישי בבוקר, כשהתחלתי לקבל את ההתכווצויות האיומות האלה בעבודה"
119,1,פחד,fear,אני מרגיש כבוד שהצלחתי לקרוא להם חברים כדי לחלוק את האחווה שלהם
120,4,עצב,sadness,התחלתי לחוש חשש כשענני גשם שחורים ועבים הסתערו בשמיים מעל העיר
121,4,עצב,sadness,אמרתי לה שהסיבה שאני מרגישה כל כך מפחדת היא בגלל שאני מרגישה לא בטוחה
122,4,עצב,sadness,עדיין לא התחשק לי להזדעזע מה-tsa אז הלכתי לצד בקרואסונים יצירתיים לארוחת צהריים
123,0,כעס,anger,אני נכנס לקבוצות אני מרגיש ממש מביך ומפצה יתר על המידה בכך שאני מדבר יותר מדי או על ידי שקט ממש
124,2,שמחה,joy,"אני מאוד נרגש לפגוש סוף סוף את השותף ההוא שיהיה איתי כל הזמן, במיוחד כשאני בודד מאוד בודד השותף ההוא שלעולם לא יאכזב אותי השותף ההוא שיכבוש את ידיו סביבי ויגרום לי להרגיש אהובה"
125,1,פחד,fear,אני מרגיש שהם די בטוחים בבלוג שלי img src http s
126,1,פחד,fear,"אני מרגיש די להוט לעשות את זה, כי יש לי תוכנית מהנה לטלטל את זה"
127,2,שמחה,joy,אני מרגיש חרמן אז אני מבקש ממנה שתעזוב הביתה
128,4,עצב,sadness,אני חושב שאם שיר לא מפעיל עליי לחץ אני לא מרגיש לא בנוח במובן של להרגיש יותר ממה שאני יכול להרגיש מבין יותר ממה שאני יכול להבין לאהוב יותר ממה שאני מסוגל להיות מאוהב
129,5,הפתעה,surprise,גם אני מרגיש כאילו אני זר בארץ זרה ואני מגדל את הבן שלי במקום שהוא לא בית האבות של אביו
130,1,פחד,fear,עזבתי את המקלחת בשאלה מה אני מרגיש שהיא הייתה מדהימה גוף כל כך פנטסטי כל כך בטוח בתנועה שלה ללא מאמץ חינני
131,1,פחד,fear,אני מרגיש אנרגטי וקופצני אני יותר מאשמח ללכת לחדר כושר להתרוצץ בחוץ עם הילדים שלי או לקחת את העגלה לטיול ארוך לעתים קרובות אני עושה את שלושתם ביום אחד
132,1,פחד,fear,עדיין הרגשתי חזק
133,1,פחד,fear,לא פרצתי בבכי או שחרור הרסני אחר של רגשות או מחשבות כי נדמה לי שידעתי שעשיר גם צריך לעבור את המרחב שלו מבלי שאפיל עליו
134,3,אהבה,love,רציתי לקבל לאטה דלעת תבלינים הבוקר אבל הוא היה חם והדבר האחרון שרציתי היה קפה חם אולי אני מרגיש קצת מריר
135,4,עצב,sadness,"אני מניח שהוא מרגיש רע כי הוא היה קצת סקפטי לגבי הכאב שלה במהלך החודשים האחרונים, בעבר היה לה היפרכונדריה והרגל הגזמה, למרות שהוא מעולם לא חקר אותה בגלוי על כך."
136,1,פחד,fear,אני נצמד לפינות המיטה כדי להרגיש בטוח
137,3,אהבה,love,אני גם מרגיש שאני אנוכי בכך שאני לא אסיר תודה על החיים שיש לי ועל הדברים המדהימים שבהם
138,2,שמחה,joy,קראתי לזה אלוהים בגלל שראיתי את אלוהים בספר וחשבתי שאלוהים הוא השם הנכון להרגשה כל כך מאושרת ומקובלת ללא עוררין
139,3,אהבה,love,אני לא יודע למה אולי בגלל שלבנות אחרות במשרד היה שיער קצר ויפה או אולי פשוט הרגשתי מרדנית
140,0,כעס,anger,אני לא מרגיש אומלל בכלל כי המשפחה שלי היא לא הטיפוס שחוגג את חג האיד
141,1,פחד,fear,אני יכול ללכת לשטיפת מכוניות אם אני מרגיש ממש נדיב המכונית שלי צריכה את זה
142,0,כעס,anger,אני עדיין מרגישה חסרת שינה שהיא כמעט ישנה כל הלילה נותנת לנו
143,3,אהבה,love,אני פשוט מרגיש ממש אלים עכשיו
144,1,פחד,fear,"אני כותב שוב בבלוג אני יושב כאן ומרגיש מרוצה מהכלבים שלי, חתול וכו' ואני יודע כמה ברי מזל אנחנו האמת"
145,5,הפתעה,surprise,התחלתי להרגיש מצחיק ואז ביום שישי התעוררתי חולה כמו כלב
146,0,כעס,anger,אני מרגיש צורך להגן על ההורים שלי מפני ציד המכשפות שטיפול בזיכרון מודחק יכול להיות
147,3,אהבה,love,אני מרגיש נגעל אפילו להיות קשור לאישה הזו על ידי הגזע והלאום שלי
148,3,אהבה,love,צחקתי אז שוב במרירות אבל לא הרגשתי מריר
149,0,כעס,anger,"לא יכולתי לדעת מה הוא מרגיש אז חשבתי שהוא רוצה שהוא יכול היה להיות שם גם איתנו, כי כל אחד מאיתנו ידע שעד כמה ששנאנו את זה בהתחלה זו חוויה שנזכור לנצח"
150,1,פחד,fear,הרגשתי די נימוח ורציתי מראה רך וקל ללבוש עם תחילת הצטננות
151,4,עצב,sadness,אמרתי לו שאולי אני רק צריך זמן לחשוב איך אני מרגישה חסרת החלטיות לגבי דברים לאחרונה
152,1,פחד,fear,אני עדיין מרגיש שזה עושה רע לז'אנר כשסיפורים נפתרים בצורה מלאכותית
153,1,פחד,fear,אני תמיד יודע מתי אני מרגיש אמנותי כשאני כותב את השם שלי בזמן שאני במצב רוח אמנותי ה-i במניץ אני מצייר עיגול לא נקודה ככל שהנקודה גדולה יותר אני מרגיש יותר אמנותי ואם זה רק קו כמו סימן מבטא בספרדית אני כועס
154,4,עצב,sadness,אני זוכר שהרגשתי ממש מבועת כשהייתי בברזיל באוטובוס שעלה במעלה גבעות הרים תלולות בצד ההר באמצע סערה גדולה ותהיתי אם אנחנו עומדים ליפול
155,0,כעס,anger,יכולתי להרגיש את יבבה שלה מהמחשבה שאני לא אהובה ולא מטופלת
156,5,הפתעה,surprise,"אני בהחלט לא הולך לשבת ולספר לך מה קורה בחיי האישיים אבל אני מרגיש שאם היית סקרן לגבי מה שקורה בחיי, כל מה שאתה צריך לעשות זה לראות את התוכנית"
157,5,הפתעה,surprise,אני מצטער שלא היה יותר הומור בפוסט הזה אבל אני לא מרגיש כל כך מצחיק
158,1,פחד,fear,אני מרגיש שנכנסתי רגלי לדלת של העולם הפנטסטי של הליכה וריצה בשבילים במפלים ובהרים
159,3,אהבה,love,אני אומר כל מה שעולה לי בראש תגיד לך ישירות מה אני מרגיש בחורה קנאית לא בגלל שאני חסרת ביטחון אלא בגלל שאני פשוט אוהב את האדם הזה חבר ראוי לאמון מתוק למי שאני אוהב
160,4,עצב,sadness,אני מרגישה מוזר לחזור לעבודה אחרי חופשת יום אחד שלי
161,3,אהבה,love,"אני מושפע בבירור מאושר המקף של אמילי דיקינסון, למשל, ואני משתמש במקפים במקום נקודתיים או נקודתיים למחצה כדי לשפר את תחושות ההקפצה הממהרת בסונט"
162,0,כעס,anger,אני שמנה יותר כי הדבר היחיד בחיי שיכול להישאר בשליטתי הוא האם אוכל או לא אוכל חמאת בוטנים על לחם כשאני חוזר הביתה מיום בלתי אפשרי של עולם ראשון שנראה עדיין עולם שלישי מרגיש גיהנום של נזקק ומוזנח ילדות קטנות
163,3,אהבה,love,יכולתי לטעון לגאול את הז'אנר אבל זה לא הותיר אותי כל כך מתוסכל עד כדי להכות את הראש בקיר
164,0,כעס,anger,אני מרגיש כל כך עצוב וחסר תקווה
165,4,עצב,sadness,אני מקבל את התחושה שהשיעורים שלי קצת מפוחדים מהקונספט של מואר
166,0,כעס,anger,אני עדיין מרגיש עצבני אבל אני צריך לקום לעשות את השגרה בשביל הבן שלי
167,1,פחד,fear,יש לי הרגשה שההשקפה שלי לא הולכת להיות מאוד פופולרית וזה בסדר
168,5,הפתעה,surprise,אני רוצה להחזיק בתחושה הזו של יראת כבוד ותהייה מזועזעת לנצח
169,4,עצב,sadness,"כששמעתי שמועה שתוצאות הבחינה בשנה הראשונה יצאו, חששתי שאולי אהיה אחד מהכישלונות"
170,1,פחד,fear,אני רוצה להרגיש מוערך שאני עושה ומוערך ואני יודע שהאנשים שאוהבים אותי לא הולכים לשום מקום גם אם אופי הקשר משתנה
171,3,אהבה,love,אני יודע שיש ימים שבהם אתה מרגיש מוסחת
172,1,פחד,fear,אני משתמש בו באופן קבוע עם מוזיקה מרגיעה ותמיד מרגיש מרענן לאחר מכן
173,3,אהבה,love,אני מרגיש מוסחת אני נוטה להתאמן בעיניים עצומות ככל האפשר
174,1,פחד,fear,"אני מרגיש שהמושלם שלו, ראה ליוטיוב יש השפעות, אני אפילו מכיר טרנדים"
175,4,עצב,sadness,רציתי במיוחד שהטנגו הרגיש ביישן וקשה להיפך להתרחק ממנו מספיק כדי לצלם תמונות טובות חחח
176,4,עצב,sadness,גם לא הרגשתי מוזר מאוד שישנתי במיטה שלי בזמן ששניהם ישנו במיטה שלה
177,0,כעס,anger,אני רק מאחלת בסדר אז חשבתי על זה מוקדם יותר היום והנה הדבר שהכל אסוף וחסר מנוחה גרם לי להרגיש כל כך נזקק
178,1,פחד,fear,ירדתי קצת במשקל כך שיכולתי להיכנס לחצאית קטנטנה שלא יכולתי ללבוש כי לא הרגשתי בטוח בה עד עכשיו
179,1,פחד,fear,אני מקווה להרגיש קצת יותר יצירתי שוב בקרוב ולהתגעגע לנוכחותו בבלוג החיים שלי
180,0,כעס,anger,"אני לא מעריץ של הנשיא הנוכחי, אני שמרן וזה גרם לי להרגיש לא רצוי"
181,5,הפתעה,surprise,אני אצרף את הפסוקים שלה עליה לא יכול היה לשקול הרבה יותר לחשוב ולהרגיש סקרנות לשמוע את הזוג המוזר
182,1,פחד,fear,אני מתחיל להרגיש שאנן מהחיים שלי כאן
183,4,עצב,sadness,אני מרגיש פגיע ובודד
184,1,פחד,fear,אני זוכר שהרגשתי השראה וחשבתי שזו דוגמה מצוינת להורות
185,0,כעס,anger,אני מרגישה שאני תמיד זה שנענש על דברים טיפשיים ואני מרגישה שנעזרים אותי על התנהגות
186,1,פחד,fear,אני באמת מרגיש שהחיים שלי מושלמים עכשיו ואם זה לא יותר מדי לבקש אני רק מקווה שהכל ישאר אותו דבר
187,1,פחד,fear,אני שם אני פשוט מרגיש מרוצה
188,1,פחד,fear,אני לא אומר שתוציא את כולם מהחיים שלך אבל אני מרגיש שחשוב למצוא נחמה במדיטציה של בדידות או בעבודה על פרויקטים לבד
189,4,עצב,sadness,אני חושב שאני פשוט טיפש מרגיש עצבני
190,1,פחד,fear,אני מרגיש מכובד מזה
191,5,הפתעה,surprise,הרגשתי מעשה אלוהים בעבודה בחיי וזו הייתה הרגשה מדהימה
192,1,פחד,fear,אני מרגיש שאני כמו ציפור שעפה באוויר בצורה מאוד חסרת דאגות
193,3,אהבה,love,אני צריך לשנות את התשובות שלי שוב ושוב במוחי רק כדי לוודא שהתשובה נשמעת מספיק מתאימה ושהאדם שיקבל את התשובה לא ירגיש פגוע
194,0,כעס,anger,הרגשתי עצוב כשחבר שלי מת והרגשתי שמשהו נעלם ממני באופן בלתי הפיך
195,0,כעס,anger,מתתי אלכס ומאט היו מתחרטים על כך שלא באים לבקר
196,1,פחד,fear,אני מרגיש שחינוך משפחות ותמיכה וחינוך של אמהות ואבות הוא המפתח
197,3,אהבה,love,אני בטוח שזה בגלל שכשאני אבוד אני מרגיש שכולם עוינים אותי ואני שונא את ההרגשה הזו
198,0,כעס,anger,אני מרגישה שאלו תפירות משעממות מאוד מכיוון שהן כל כך קלות ואין מה לומר עליהן מלבד השימוש שלי בבד
199,1,פחד,fear,תמיד אהבתי להשתמש בניחוח המקורי כדי לרענן ולהריח קלות את מגירת התחתונים שלי כדי להרגיש זוהרת ונערה להפליא
200,1,פחד,fear,אני מרגיש כאילו אני צעיר מוכשר אני לא מרגיש מוכשר אז אין לי לעבוד איתו
201,5,הפתעה,surprise,אני מרגיש סקרן לגבי כל הדברים האלה מסביב
202,1,פחד,fear,אני מרגיש שהסיבה שהיו נפרדים מהחיים של זה היא בגלל שאני ברשותו כדי לעזור לו להפוך למשהו כדי לדחוף אותו להצליח ולהצליח ומאושר
